,expected_n_aftershocks,gen_0_parent,generation,is_background,latitude,longitude,magnitude,n_aftershocks,parent,time,current_rate,distance_range_squared,source_to_end_time_distance,pos_source_to_start_time_distance,dice,p_detected,detected
15929,0.18352531393886548,1767,5,False,35.21366983261094,115.41976532528021,2.6,0,14711,1970-01-01 15:40:17.007334799,0.1334468808425125,34.89322144252396,18261.34702537807,0.0,0.5861101299085923,0.9994411534645935,True
2107,0.30626873015721834,2107,0,True,24.498027322789003,118.03633517486946,2.8,0,0,1970-01-02 16:42:38.803896000,0.004112700877194302,69.96585571979416,18260.3037175475,0.0,0.4734563175462414,0.9999918182857858,True
12848,1.0914652091522465,1767,3,False,35.02122846731047,115.46969657798564,3.5,2,10218,1970-01-02 23:27:07.296704399,0.05457570865358731,393.247567780323,18260.02283221407,0.0,0.4345023336428465,0.9999835887883894,True
14701,0.21343715050018913,1767,4,False,35.03674869804148,115.45310409696538,2.6,0,12848,1970-01-02 23:31:20.207561999,14.827360028438905,42.83759206281484,18260.01990500507,0.0,0.6810053430912216,0.9397784543790543,True
14702,0.15789621011418475,1767,4,False,35.024223599064214,115.47581020975768,2.5,0,12848,1970-01-04 04:44:47.090221199,0.1602818388832155,28.444375279289623,18258.802232752067,0.0,0.24143317328695924,0.9987812841532064,True
14369,0.31944747169675075,764,4,False,56.5767186866308,125.1310897423153,2.8,0,12289,1970-01-04 11:04:37.866610800,0.0015517463878161823,74.0871366805563,18258.538450617933,0.0,0.9580990742503075,0.9999969129829281,True
15952,0.37878429257988855,1767,5,False,35.20570535428651,115.44232802735327,2.9,0,14711,1970-01-05 07:30:44.013968399,0.13674068399923373,93.38206965730598,18257.68699057907,0.0,0.6487699735949808,0.9997997927590121,True
2108,2.2288743264609474,2108,0,True,57.11648771779837,136.0731144723756,3.8,2,0,1970-01-07 15:04:49.780782000,1e-08,1037.3174372720316,18255.371646055763,0.0,0.8624356946334457,0.9999999999985559,True
7239,0.15727830470370205,2108,1,False,57.127717336681954,136.09040980208343,2.5,0,2108,1970-01-07 15:58:02.321175599,2.839895999390798,28.29325965714368,18255.334695356763,0.0,0.5756282179820079,0.9786252029972664,True
2109,0.15258498616218777,2109,0,True,53.17354852701455,103.67170356658097,2.5,0,0,1970-01-08 09:40:43.179685000,1e-08,27.152438990834288,18254.596722457347,0.0,0.5919551541922082,0.9999999999239179,True
2110,0.30225731726688904,2110,0,True,52.01335477487336,128.99381724288946,2.8,1,0,1970-01-08 21:46:02.891768000,1e-08,68.72384658476044,18254.093022086017,0.0,0.49304754104100645,0.9999999999801061,True
7238,0.17903562906705447,2108,1,False,57.12028338407661,136.07975072790416,2.6,0,2108,1970-01-12 01:06:31.081959600,0.04129480296705203,33.73867928084601,18250.953806921763,0.0,0.004983516860394888,0.9998270329604593,True
19028,0.24968529287474772,1767,8,False,35.20490556591337,115.3880857139594,2.7,0,18274,1970-01-13 22:54:54.819526799,0.11358069395453539,53.0117074243079,18249.045198848067,0.0,0.5942411165290193,0.9996826536176707,True
2111,0.41634472034749237,2111,0,True,52.76044139959257,109.33044091346461,3.0,0,0,1970-01-14 17:12:24.393083000,0.00017653335263225026,106.18081021237383,18248.283051005987,0.0,0.24949456514320678,0.9999998058739047,True
7227,0.46869925008419894,2099,1,False,55.21592975642986,107.0735521071412,3.0,1,2099,1970-01-20 17:49:47.691311000,0.010884930333618948,124.71830430095196,18242.25708690612,0.0,0.23101241658479477,0.9999880303832035,True
10507,0.26003837364722376,2099,2,False,55.20690378924353,107.08144166788037,2.7,0,7227,1970-01-21 09:51:19.600981400,0.09421979985229674,56.019891336567824,18241.589356470122,0.0,0.3584229193245648,0.9997367411625189,True
2112,0.17748688324866566,2112,0,True,31.504113000321794,134.367468350967,2.5,0,0,1970-01-23 00:10:10.725895000,1e-08,33.34280141604295,18239.992931413253,0.0,0.4372106383797182,0.9999999999239179,True
6534,0.14960941465872585,1767,1,False,35.358178010070546,115.38078390722814,2.5,0,1767,1970-01-23 12:55:48.862870800,0.062034792341424616,26.435622714011295,18239.461240013068,0.0,0.4798223466807242,0.999528137172169,True
7158,8.863262520595093,1960,1,False,31.40078302617342,130.80844824322267,4.5,9,1960,1970-01-29 02:15:52.368192600,8.495886403599266e-05,6766.4121737074165,18233.90564388666,0.0,0.07762154462796056,0.9999999977053249,True
10464,0.22421585657651902,1960,2,False,31.400958127947565,130.8052361930754,2.7,0,7158,1970-01-29 02:21:03.655815000,40.498912462540076,45.802847166749544,18233.90204102066,0.0,0.07051102691658795,0.8929965105667164,True
10472,0.6478758226161762,1960,2,False,31.394647446418016,130.7895118776308,3.2,0,7158,1970-01-29 02:54:23.510909400,9.291033803411828,193.61342373532221,18233.87889454966,0.0,0.02255281342518156,0.9940474191324847,True
2113,0.4930607615422714,2113,0,True,52.11558306501087,139.806360479302,3.1,1,0,1970-01-30 01:06:19.869186000,1e-08,133.60605859065916,18232.953936699236,0.0,0.5497091786249559,0.9999999999916321,True
7241,0.32501639907355223,2113,1,False,52.11476736783757,139.80497445755555,2.8,0,2113,1970-01-30 03:11:18.616683600,0.5715084327549713,75.84721783599,18232.867145640237,0.0,0.09734544627310471,0.9988636954672961,True
10467,0.16507545606012844,1960,2,False,31.50890413522167,130.86066199980132,2.5,0,7158,1970-01-30 23:04:43.535683800,0.1589648182007747,30.215557244176203,18232.03838500366,0.0,0.8889711731321712,0.998791292171345,True
2114,0.15437531471665591,2114,0,True,40.39028920621758,103.19609542100638,2.5,0,0,1970-02-02 10:24:36.674100000,0.0014982054710398008,27.58615726269667,18229.566242197918,0.0,0.024615952489296933,0.9999886013919433,True
